('23.49472805', '87.3170645') ['11:52:20']
('23.496506019999998', '87.31362532') ['11:50:57']
('23.50021886', '87.30610932') ['11:49:23']
('23.50353737', '87.30770853') ['11:48:30']
('23.51934134', '87.31129692') ['11:45:35']
('23.52714482', '87.31118466') ['11:43:29']
('23.52817485', '87.31120561') ['11:41:40']
('23.53340316', '87.30646219') ['11:40:17']
('23.53568518', '87.2980973') ['11:38:14']
('23.53572212', '87.29800808') ['11:36:41']
('23.53572321', '87.29791447') ['11:36:14']
('23.53575411', '87.29752173') ['11:33:25']
('23.53601491', '87.29580597') ['11:32:29']
('23.53754549', '87.2967556') ['11:31:36']
('23.54042796', '87.29917052') ['11:30:05']
('23.542372', '87.30686347') ['11:26:33']
('23.54240991', '87.30693771') ['11:26:11']
('23.5433743', '87.30452978') ['11:27:45']
('23.54429392', '87.30823712') ['11:25:01']
('23.54442241', '87.30191481') ['11:28:51']
('23.54461039', '87.30209121') ['11:28:35']
('23.54657372', '87.30988027') ['11:21:58']
('23.54661923', '87.30985785') ['11:23:57']
('23.548291', '87.30386797') ['11:20:30']
('23.54870651', '87.30118415') ['11:19:39']
('23.55215942', '87.29681215') ['11:18:05']
('23.55924887', '87.29877762') ['11:16:03']
('23.55999327', '87.29879395') ['11:14:53']
('23.56239381', '87.29882087') ['11:14:11']
('23.56657844', '87.29885625') ['11:13:09']
('23.57198358', '87.28533436') ['10:46:10']
('23.57227065', '87.28248958') ['10:46:51']
('23.57228801', '87.30259391') ['11:09:09']
('23.5736939', '87.27648549') ['10:48:31']
('23.57409542', '87.29921657') ['11:05:39']
('23.57414136', '87.29149836') ['11:04:05']
('23.57418221', '87.29571879') ['11:04:52']
('23.57423693', '87.30259913') ['11:08:17']
('23.57424562', '87.30259346') ['11:08:12']
('23.57425068', '87.30258783') ['11:08:11']
('23.57491798', '87.2914857') ['11:03:32']
('23.57863135', '87.28267389') ['10:54:39']
('23.57960715', '87.27348783') ['10:49:50']
('23.57973196', '87.28769212') ['11:01:47']
('23.58001472', '87.28747099') ['11:01:28']
('23.58233541', '87.27600546') ['10:50:59']
('23.58278227', '87.2832976') ['10:56:05']
('23.58644425', '87.28756288') ['11:00:09']
('23.58882313', '87.28200462') ['10:57:46']
('23.59052557', '87.28465202') ['10:59:08']
('23.59068361', '87.28451285') ['10:58:39']
