('23.49344566', '87.3160514') ['18:26:29']
('23.50035224', '87.30593339') ['18:30:13']
('23.50321403', '87.30746376') ['18:31:14']
('23.50717749', '87.30985629') ['18:32:41']
('23.51952544', '87.31113652') ['18:35:24']
('23.52832041', '87.31114604') ['18:37:02']
('23.53333015', '87.30659269') ['18:39:07']
('23.5351309', '87.29765496') ['18:40:45']
('23.53633439', '87.29603714') ['18:43:01']
('23.53753749', '87.29676995') ['18:43:29']
('23.53846257', '87.29793186') ['18:44:28']
('23.54030396', '87.29911832') ['18:45:14']
('23.54229815', '87.30683564') ['18:48:42']
('23.54268877', '87.3007164') ['18:46:15']
('23.54335721', '87.30118908') ['18:46:35']
('23.54421611', '87.30812622') ['18:49:25']
('23.54457342', '87.30208395') ['18:47:09']
('23.54813715', '87.30778403') ['18:51:00']
('23.54821358', '87.30389152') ['18:51:57']
('23.55995682', '87.29867872') ['18:55:34']
('23.56264251', '87.29872021') ['18:56:40']
('23.56474762', '87.29871837') ['18:57:14']
('23.56620385', '87.28502661') ['19:27:56']
('23.56633958', '87.28530437') ['19:27:05']
('23.56805373', '87.30237311') ['18:58:47']
('23.57203823', '87.30255437') ['18:59:42']
('23.57237114', '87.30258186') ['19:01:34']
('23.57396237', '87.29861667') ['19:03:39']
('23.57396458', '87.29930419') ['19:02:57']
('23.57402141', '87.29527693') ['19:04:34']
('23.57952346', '87.27351824') ['19:20:34']
('23.58004821', '87.28745396') ['19:07:47']
('23.58026043', '87.27945435') ['19:16:08']
('23.5821215', '87.27607802') ['19:17:14']
('23.58612304', '87.28756412') ['19:09:22']
('23.58715481', '87.28355354') ['19:12:37']
('23.58880358', '87.28216788') ['19:11:50']
('23.58888186', '87.28626173') ['19:10:17']
('23.59060072', '87.28453602') ['19:10:58']
